score,review
1,bbq가 이렇ㄱ 맛없을수있나요 다른지점에선 한번도 그런적없눈데 닭껍질 한입 베어물고 진심으로 비린내나서 뱉었어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
2,평점 보고 주문하는데 이번엔 못보고 잘못 주문했네요..ㅠㅠ
5,아주 맛있어요!!!
5,아주머니 친절하던데.. 치킨도 초스피드로와서 맛있었음. 굳 
5,나는 이 치킨집 만족하면서 배달 시켜먹음 
1,배달 치킨집인데도 전화받는 매너가 완전히 엉망이시네요.  보통사람들보다도 더 무례합니다.  많이 무례하세요 많이...
5,준비도 빠르고 친절하시고 맛있습니다.   바삭하고  깔끔함 자주 먹는데 좋아요~
1,시켰는데 2시간 넘게 배달 안옴
1,주인분이 성격이 좀 있으시네요.
1,여기 기름 똥기름입니다. 황금올리브??? 절대 아니에여
1,쿠팡 배달 지옥 할베 할메 겁나 느려
5,"밑에 있는 댓글들 다 특정 알바때문인것 같네요 집 근처라 몇번 왔을때 그 알바가 항상 거슬렸는데, 요즘은 사장님인지 이모님인지 정말 친절하시고 맛도 좋아요 오셔서 맛 괜찮은지 더 필요한건 없는지 여쭤봐주시고, 사람들 많았는데 나오는 속도나 서비스 모두 좋았습니다 번창하세요~"
1,"요기요로 주문. 거두절미하고 약 3시간 기다렸습니다. 이벤트 때문에 주문이 몰리는 거 감안해도 너무 걸리죠?  연락도 없으시길래 전화했더니 집 문을 두드리고, 전화를 주셨다는데 부재중 내역도 없고, 현관에 비밀번호 누르고 들어와야해서 문을 두드리지도 못하실텐데 참 의아합니다ㅎㅎ?  이 지점에서만 10번정도 시켜먹었는데 하필이면 7000원 할인 이벤트 하는 ..."
1,Really bad food and service:
1,Rip
1,"콜라, 치킨, 분위기 종합"
1,19년 3월 31일 기준... 정말 별로네요.. 배달이라 그런 건지 이 매장에 문제가 있는건지... 치킨 한마리에 2만원 가까이 받고 팔면서 이렇게 장사하시면 진짜 양심에 안찔리는지 묻고 싶네요.. 양념은 무슨 다 말라 비틀어진 고기도 없는 튀김만 오고.. 치킨무는 색깔이 다 변한 유통기한 며칠 안남은(다 버림...) 본사에서 이리 품질 관리를 안하는지 참...
1,직원들이 불친절 하네요....바쁜건 이해한다만....  
4,
5,JMT
1,주문후 한시간반 뒤 통닭튀긴다며 20분 더 걸린다고 연락주셨네요.  금요일 저녁 가족과의 조촐한 파티느뉴엉망이 되었습니다.. 미리 연락주시는 정도의 서비스 기대는 무리인가요? 주문취소를 해주시던지.. 24천원 한마리 통닭파는게 더 중요하셨나 봅니다. 다 살기 힘든 세상이다보니 이런 경우도 있나보네요..
1,
5,한 입 베어물면 음~~ 하는 감탄이 절로 나오게 만드는 노랑통닭 정말 최고네요!!
5,직원분도 친절하고 노랑통닭은 가성비가 진짜 좋은거 같아요 너무 맛있답니당 ㅋ
5,처렴한 가격에 양많고 맛있는 치킨을 맛볼수 있는곳인거 같습니다 아주 마음에 들어요
5,맥주에는 역시 치킨이 최고죠 노랑치킨 후라이드랑 똥집이랑 같이 먹으면 환상궁합이에요~
5,별 5개 쾅쾅!! 파닭 맛있어욤 ㅠ
5,살코기도 많고 정말 맛있었어요~ 다른 브랜드 치킨들보다 훨씬 양도 많고 맛있어요
5,가게가 깔끔하고 친절해요. 물론 치킨 맛도 아주 예술~~ 똥집이랑 감자튀김도 맛나요!
5,응대도 친절해서 기분좋았고 치킨도 맛있어서 잘먹고 왔네요 또 갈게요
5,치킨이 맛나구 친절하구 매장도 깔끔해서 최고에용:-)
5,진짜 맛있네요^^ 치킨도 맛있었고 치즈떡볶이도 존맛이였어요 추천 꾸욱~~
5,마늘치킨을 원래 너무 좋아해서 다른거 도전 안해봤는데 노랑통닭은 다 맛있는 메뉴들이더라구요!
5,소스도 넉넉히 뭍혀주시고 튀김옷도 바삭바삭 너무 좋아요 겉바속촉^^
5,넘넘 맛있어연~~~~
5,손님 응대도 친절하고 깨끗한 기름에 튀기는거 같아요 바삭바삭하고 맛있었어요
5,직장동료들이랑 가서 엄청 먹고 왔네요 ~ 맛있어서 허겁지겁 먹었어요
5,생각보다 양도 많고 맛도 좋네요 또 먹고 싶어요~~~
5,옛날 통닭 느낌나고 맛있었어요!!!
5,똑같은 체인점들이여도 이곳 닭은 다른곳들보다 더 맛있는거 같아요
5,저렴하고 맛있게 먹기 좋았어요 글구 역시 노랑통닭은 순살 3종세트가 답이네용!!
5,치즈 떡볶이랑 후라이드 시켜서 3명이 먹으면 딱 좋네요 ㅋ
4,우린 깐부잖어
1,치킨무 없는 치킨집 ㄷㄷㄷㄷ 
5,분위기도 좋구 맛나게 잘먹었습니다
1,양 조오오오온나 작아요..
3,(우웩) 맛없음. 치킨을 이정도로밖에 못 튀기다니.
1,너무 비싼데 양도 적었음
1,양이 다른 지점보다현저히적음 떡볶이는 13000원인데 신전떡볶이 3000원짜리 1인분정도밖에 안됨 본사에서 양 확인 안하나봄
4,
1,"깐부치킨은 서비스 주니까 자리 옮겨달라고 하면 무조건 옮겨줘야 하나 봅니다.^^ 그게 깐부의 법이고 손님의 의무인가 봅니다. '자리 양보해달라고 하면 다들 옮겨주는데, 이번처럼 자리 안 옮겨준 적은 처음'이라니요.^^ 그런 마인드로 장사 퍽이나 잘 되겠습니다? 애초부터 문제없게 단체석 옆이 아닌 다른 자리로 안내하던가, 단체 손님한테 자리 만들어 주겠다고 ..."
1,여기 사장님 멋대로 자리 옮기라고 하면 옮기시면 됩니다 ^^ ‘자리 옮겨주시겠어요? 서비스도 드려요~’ 의 기분 개같아지는 말투도 이해해주셔야 하구요 그렇지 않으면 ‘어린애들이라 이해못하는 싸가지’가 되실 수 있습니다. 치킨을 먹으러 갔는지 눈치먹으러 갔는지.. 다신 안갑니다. 많이 파세요.
4,전기구이통닭 맛나네요 ㅎㅎ
5,
4,가볍게 치맥하러 가기 좋은 집이네요.
5,치킨공식 존맛탱 사장님도 직원분들도 넘넘 친절하심 담에 근처가면 또 가야지~!! 역삼동 맛집 인정
4,인간적으로 치킨 집맛은 다 비슷한거 같고 미식가가 아니라 잘 모르지만 맥주에 시원하게 한잔하기 좋은 장소라 생각하고 역삼에 생각보다 이런곳이 흔치않기에 별4개 !!! 제발 오래가길 편한 공간 또 찾기 힘듦!!!
5,치킨 정말 싫어하는데 너무 맛있어 깜놀.. 처음엔 문어나 먹자하고 갔는데.. 치킨에 반해버림..
1,교육이 엄청 필요한집. 한개도 아까운집.
1,최악의 악질 지점이네요 전화 수차례 걸었음에도 불통 포장시간 문자발신처리도 제대로 안함 본사 CS통해서 상황파악하고 직접 매장까지 찾아가서야 주문상황 확인했네요 그러고도 사과도 바로하지 않고 변명부터 일삼는 점주 절대 이용 안합니다 이딴 양아치가 운영하는 가게는 망해 없어져야 함 
5,맛있게잘먹었습니다 
5,요 청사항도 너무 잘 들어 주시고 배다리 오래 걸려서 포장하러 갔는데 배달 비도 빼주시고 너무 너무 친절하게 계속 필요한 거 없냐고 물으시면서 하나라도 더 주려고 하셔서 너무 감독 였습니다 치킨도 맛있었고
