score,review
1,배민으로 주문했는데 50분 걸린다고 해서 한시간 십분 기다리다가 전화했더니 누락 되었다고 함.  리뷰를 보니 한두번 그런게 아닌거 같은데 어쨋든 비추천
5,맛있어요
1,"여자 주인 마인드가 장사할 마인드가 아님. 배민 가격은 어플에서 수시로 바뀌어서 자기가 모르는 가격이라고 함. 방문포장도 어플에선 3,000원 할인으로 되어있어서 갔더니 현금만 3,000원이고 카드는 2,000원이라고 함"
1,가게 주인인지 여자분 말할때 한마디로 넘 싸가지가 없네.사람기다리게 해놓고 당연하단듯이 말하는건 뭔 배짱장산지.배부르게 장사하나봐~아줌마 보기 싫어 다른 치킨 사먹는다.진짜 재수없어~          
1,일요일에 영업안하는건 사장 마음인데 안할거면 일요일은 영업안한다고 써놓던가...
1,40분기다렸는데 가지러가니까 아직안됐다는데 사과한마디없네 ㅠㅠ 
1,위메프 쿠폰 못쓰게 일부러 고추바사삭만 쏙 빼놓는 양심 없네요
5,"친구가 추천한 집인데 역시 ""최고"". 맛잇고 친절!!"
5,맛과 서비스 모두 훌륭합니다. 기본으로 내어주시는 오뎅탕도 칼칼하니 좋습니다.
5,새로 나온 유린치킨 진짜 너무 맛있어요 질리지도않고 분위기도 좋고 서비스도 진짜 많이줘요 단골집 되겠당.. 너무 맛있어요 사장님도 너무 착하심
2,별로
2,직원실수로 재료 떨어진 메뉴 주문 20분 넘게 기다렸는데 죄송하단 말 하나도 없이 그냥 그 메뉴 빼면 된다고 당당하게 카드 달라는 직원분 ^^
3,"직접 픽업하면 2천원 할인 굿! 웨지감자랑 같이 주심 굿!  제 입맛에는 좀 느끼했습니다.  치킨무, 집에 있던 피클, 소주의 도움을 받았지만  치킨 한마리를 다 먹지 못하고 남기기는 처음이에요. 느끼해서 고추장에 밥 비벼먹음.  오리지널이랑 고추!? 머시기 먹었봤네요.  오리지널이 더 맛있었음."
5,맛있어요 저희 가족은 입이 짧은편이라 치킨먹을때마다 남는데 여기는 남김없이 먹네요 ㅎㅎ
5,은평뉴타운에서 가장 맛있는 치킨집이라고 생각합니다. 튀김옷이 바삭바삭하기에 양념치킨들도 그 바삭함이 양념에 죽지 않고 바삭바삭합니다. 특히나 치킨플러스 인기메뉴 핫초킹은 매콤한과 바삭함의 조화로움이 치킨의 맛을 더 업업시켜 줍니다. 그리고 치킨집인데 떡볶이도 맛있습니다. 보통맛은 아이들이 먹기에 좋고 매운맛도 엄청나게 자극적이게 맵지 않고 맛있게 맵습니다....
4,일반적인 프랜차이즈치킨맛에 질렸다면 기본에 충실한 치킨으로 좋음
5,
5,훌랄라는 역시나  최고!  참숯숯불 존맛♡
5,우리동네 후라이드 치킨은 여기가 최고에요. 특히 후라이트의 바삭함과 살짝 가마됨 매콤함의 조화는 느끼함을 못느끼게 해주죠. 진관동 대표 치킨 맛집으로 추천합니다.
5,"동네에 치킨집이 정말 많아졌네요!! 저는 진짜 치킨 좋아하는데, 처갓집은 처음 먹어봤거든요. 그런데 진짜 맛있어요! 엄청 신선하고 기름도 깨끗한것 같고, 옛날 통닭 느낌도 나면서도 요즘 스타일! 겉바속촉. 부모님도 좋아하셨어요! ㅎ "
1,여기 손님 응대 개판이네요  무슨 인사를 해도 무시하는 가게가 다 있나요... 불친절한 곳은 거르는 게 답인듯
