score,review
5,어거스트 치킨은 다른 매장들에 비해 늦게까지 영업할더러 이름을 들어본 체인점이 아니라서 살짝 걱정하고 들어갔는데 근 세달간 먹은 치킨중에 가장 최고였다. 치킨옷이 너무부드러워서 소스 없이 먹어도 맛있고 순살이 살을 조금씩 붙여놓은게 아니라 길죽길죽한 덩어리 순살을 부드럽게 튀겨서 너무 맛있다. 파닭 특제 소스 또한 기가막히고 홀 담당하시는 분도 매우 친절하...
5,"친절,맛있다,주차 가능, AM4 식사 가능,AM3 주문 가능,"
4,
4,식당 안쪽에 강가쪽 자리가 정말 좋았습니다!!
1,"불친절, 일반치킨 안팔고 순살만 팜, 가격 뻥튀기, 양 보통지점보다 적음"
1,세상 불 친절
4,
2,진짜 심하네요. 치킨이 아니라 감자튀김을 시킨 줄 알았어요.. 그리고 물어봤을 때 젓가락 넣었다고 하셔서 따로 확인 안했는데 한강 가져와서 보니 없네요... 구할 곳도 따로 없고 당황스러웠어요. 맛은 있어서 별 하나 더 드립니다..
1,치킨맛 좋아요 다만 서빙한 사람이(젊은 남자) 종업원은 아닌것같고 치킨 추가 주문하고 인원도 많은데 무 추가로 달라고 하면 왜 기분나쁜 티를 그렇게 내는지  젊은사람이 참 건방지고 왜 무를 더달라고 하는거냐는식의 행동이 참 불쾌하더군요  단골집인데 더 가고싶은마음이 없습니다
1,너무 많이 튀겨 퍽퍽하고 씹을때 이빨이 아플 정도네....닭을 튀겨 이렇게 맛 없기도 힘들게다
5,넓고 깔끔
4,
3,간지치킨은 후회하지 않을 맛입니다!! 달달하고 바삭한 간장치킨입니다~ 완전 추천이요 알바생이 불친절한것 빼고는 좋았어요
4,
5,여기 존맛이에요... 세상 바삭한 치킨 처음 먹어봄!!! ㅠㅠ고추치킨에 마요네즈랑 칠리소스비슷한거 주신것도 최고 !!! 이 지점에서 맛있는 치킨 먹었다가 다른 지점에서 먹었는데 그맛이 안남 ㅠㅠ 담에 여의도 가면 꼭 감니다 대박나세여
2,배달지연 조심하세요
1,"치킨은 맛있습니다. 그런데 본인이 점주라고 하시는 분이 전화를 받아서 주문을 받으셨는데, 매너가 너무 없어서  쿠폰 환불도 안 되는거 시키긴 하는데  후기라도 쓰고, 다신 안 시키려고 합니다.  이야~ 이걸 배달지연으로 주문취소하셨네요^^ 대단합니다!"
2,아니 무슨 배달비가 4천원이야;;;; 안 먹고 만다
5,맛있어요  너무너무
5,너무맛있게 잘먹었어요 ㅎㅎ
1,기프티콘은 어떻게 해서도 안 받겠다는 굳은 의지 잘 확인했습니다:) 고객센터도 넘기기 급급하고.. 다시는 굽네치킨 어디서도 주문 안 할게요
1,왜 맘대로 주문 취소? 치킨집이 어이가 없네  대방점에서 시키세요~!!
5,"기름냄새, 비린내안나고 배달빨리와서좋아요!!! 굿굿!"
