score,review
1,e쿠폰으로 방문포장주문하였습니다 30분소요예정 문자받고 10분일찍 매장방문하였는데 주인인듯한 아줌마가 참 짜증스런표정으로 주문이냐 물어보더라구요 매장엔 아줌마 혼자있었습니다. 인터넷 방문포장이다 했더니 준비 안되었다고 나가래요 대뜸. 10분정도만있으면되는데 나가라길래 안나가고 동선에 방해안가는 곳에 서있는데 그아줌마가 주방에서 탁탁소리나게 뭔갈하더니 짜증나...
1,기본 후라이드 주문 안받을거면 뭐하러 장사하나요? 이해가 안가는 사장님이시네. 이전에도 쿠폰으로 주문하니까 전화와서 화내더니. 다시는 안먹음. 불친절에 끝판왕. 전체적인 서비스는 볼 것도 없음 ㅎㅎ
5,
4,통닭 무난합니다~ 생맥이랑 같이 잘어울려요
5,친절하세요. 방금 튀긴 똥집 최고^^
2,"사장님이 너무 친절하시고, 혼자 운영하시는 것 같은데... 솔직히 맛이 없습니다.  별점을 낮게 남기는 제 마음도 아프네요."
1,최악입니다 서비스 최악
1,진짜 이렇게 맛없는 네네치킨 처음 먹었어요. 이게 닭인지 기름 덩어리인지.. 절대 여기서 시켜먹지 마세요
5,사장님 친절하시구 너무너무 맛있어요✧•̀.̫•́✧
5,
5,good! 업주의 진정한 인성! 가족들의 아름다움! 음식의 새로운 맛! 이제 맛길이 열렸습니다!
5,양념치킨은 페리카나가 갑이죠
5,중랑구 페리카나중에서 최고로 가성비갑 가성비굿~~~^^ 
5,깔끔하니 맛있게 잘 먹었어요^^ 치즈볼랜덤이 다양했으면 하는 아쉬움은 있어요!
5,광히씨 덕분에 11000에 황금올리브 포장주문해서 먹었음. 저녁시간이라 바쁘신데도 빨리 챙겨주셨음. 치킨도 바삭바삭하고 닭도 큼지막하고 배불리 잘먹었습니다~(치즈볼은.. 이미 입에 넣고 사진찍음^^;)
